name,cals,carbs,fats,proteins,servings,life quality
beef,254.0,0.0,20.0,17.0,100g&100;1g&1,1
beef liver,175.0,5.0,5.0,27.0,100g&100;1g&1,1
chicken,108.0,0.0,3.0,20.0,100g&100;1g&1,1
eggs,143.0,1.0,10.0,13.0,100g&100;1g&1,3
pork,218.0,0.0,16.0,18.0,100g&100;1g&1,1
pork liver,134.0,2.0,4.0,21.0,100g&100;1g&1,1
turkey,115.0,0.0,2.0,23.0,100g&100;1g&1,1
