name,cals,carbs,fats,proteins,servings,lactose
cottage cheese,98,3.38,4.3,11.12,100g&100;1g&1;1 glass&250;1 bottle&1000,true
cheese cream,350,5.52,34.44,6.15,100g&100;1g&1;1 glass&250;1 bottle&1000,TRUE
mozarella,280,3.1,17.1,27.5,100g&100;1g&1;1 glass&250;1 bottle&1000,TRUE
greek yogurt,73,3.94,1.92,9.95,100g&100;1g&1;1 glass&250;1 bottle&1000,TRUE
lowfat milk,42,4.99,0.97,3.37,100g&100;1g&1;1 glass&250;1 bottle&1000,TRUE
sour cream,198,4.63,19.35,2.44,100g&100;1g&1;1 glass&250;1 bottle&1000,TRUE
butter,717,0,81,1,100g&100;1g&1,TRUE
