name,cals,carbs,fats,proteins,servings,lactose,caffeine
water,0.0,0.0,0.0,0.0,100g&100;1g&1;1 glass&250;1 bottle&1000,false,0
cappuccino,271.0,44.0,9.0,4.0,100g&100;1g&1;1 cup&128,true,36
